"Hash","Path","SizeKB"
"10051C5E10EA2417B9C2757859BD456A05F633D35A474E53823C52ADF4E37EED","C:\tac-portal\docs\DEVELOPMENT_GUIDE.md","13.48"
"10051C5E10EA2417B9C2757859BD456A05F633D35A474E53823C52ADF4E37EED","C:\tac-portal\testsprite_tests\tmp\prd_files\DEVELOPMENT_GUIDE.md","13.48"
"16B9AAA69FC6C22032DB4405A5FE8E85AA45DB74C370506FF4EEC4233F0C95BD","C:\tac-portal\playwright-report\data\4c0a5fab5699de76f54460b85e9b58cf349bb95e.png","109.66"
"16B9AAA69FC6C22032DB4405A5FE8E85AA45DB74C370506FF4EEC4233F0C95BD","C:\tac-portal\test-results\enterprise-stress-Performa-8f94b-oard-within-acceptable-time-firefox\test-failed-1.png","109.66"
"17006C64C604624A2361AF7F5C5DB534BBAFADAD406C17A76398A4BCB3A99CA3","C:\tac-portal\docs\SETUP_GUIDE.md","4.43"
"17006C64C604624A2361AF7F5C5DB534BBAFADAD406C17A76398A4BCB3A99CA3","C:\tac-portal\testsprite_tests\tmp\prd_files\SETUP_GUIDE.md","4.43"
"679B68B35C1D88FBFAD7A28980D5658CED76DF09689A3F982DFA3A0CDC43E734","C:\tac-portal\docs\PRODUCTION_ENHANCEMENT_PLAN.md","38.64"
"679B68B35C1D88FBFAD7A28980D5658CED76DF09689A3F982DFA3A0CDC43E734","C:\tac-portal\testsprite_tests\tmp\prd_files\PRODUCTION_ENHANCEMENT_PLAN.md","38.64"
"743505B37314666F2F4EE7B9E60063D7AA35059B82383E584C44690F486E0B5E","C:\tac-portal\docs\SENTRY_MCP_SETUP.md","5.71"
"743505B37314666F2F4EE7B9E60063D7AA35059B82383E584C44690F486E0B5E","C:\tac-portal\testsprite_tests\tmp\prd_files\SENTRY_MCP_SETUP.md","5.71"
"8C9D7D39827679D205DEBD0646CD65F8541182CAC94D67A15AEF077B96298AFE","C:\tac-portal\docs\CSS_COLOR_AUDIT.md","8.76"
"8C9D7D39827679D205DEBD0646CD65F8541182CAC94D67A15AEF077B96298AFE","C:\tac-portal\testsprite_tests\tmp\prd_files\CSS_COLOR_AUDIT.md","8.76"
"8F05A22A7FB48609F43905A2A09CFF2AFB36CB36BEB31DCA254F13FF4A6F00A8","C:\tac-portal\docs\SENTRY_MCP_VERIFICATION.md","4.3"
"8F05A22A7FB48609F43905A2A09CFF2AFB36CB36BEB31DCA254F13FF4A6F00A8","C:\tac-portal\testsprite_tests\tmp\prd_files\SENTRY_MCP_VERIFICATION.md","4.3"
"9BD3A3463E669460D27ECF8B8D2699129B0254C076DE338530C47898711EEC15","C:\tac-portal\docs\PHASE_IMPLEMENTATION_STATUS.md","12.19"
"9BD3A3463E669460D27ECF8B8D2699129B0254C076DE338530C47898711EEC15","C:\tac-portal\testsprite_tests\tmp\prd_files\PHASE_IMPLEMENTATION_STATUS.md","12.19"
"A7AD0136A7E7137935A765AD671B1BC6BCF419FFCB06E2220DD5D0EF3C60D499","C:\tac-portal\docs\Production-Level QA+Audit.md","10.76"
