"FullName","Length","LastWriteTime","Attributes"
"C:\tac-portal\.auth",,"1/22/2026 2:49:06 AM","Directory"
"C:\tac-portal\.git",,"1/22/2026 9:32:03 AM","Hidden, Directory"
"C:\tac-portal\.github",,"1/22/2026 8:51:56 AM","Directory"
"C:\tac-portal\.vscode",,"1/18/2026 12:21:22 AM","Directory"
"C:\tac-portal\.windsurf",,"1/22/2026 6:01:07 AM","Directory"
"C:\tac-portal\app",,"1/20/2026 1:53:13 AM","Directory"
"C:\tac-portal\cleanup",,"1/22/2026 9:32:02 AM","Directory"
"C:\tac-portal\components",,"1/22/2026 6:01:07 AM","Directory"
"C:\tac-portal\config",,"1/20/2026 1:53:13 AM","Directory"
"C:\tac-portal\CSS-Docs",,"1/21/2026 1:21:56 AM","Directory"
"C:\tac-portal\dist",,"1/22/2026 8:19:08 AM","Directory"
"C:\tac-portal\docs",,"1/22/2026 9:03:11 AM","Directory"
"C:\tac-portal\hooks",,"1/22/2026 8:51:56 AM","Directory"
"C:\tac-portal\label-design",,"1/20/2026 1:53:13 AM","Directory"
"C:\tac-portal\lib",,"1/22/2026 8:51:56 AM","Directory"
"C:\tac-portal\pages",,"1/22/2026 8:51:56 AM","Directory"
"C:\tac-portal\playwright-report",,"1/22/2026 6:25:22 AM","Directory"
"C:\tac-portal\public",,"1/22/2026 6:01:08 AM","Directory"
"C:\tac-portal\scripts",,"1/22/2026 6:01:08 AM","Directory"
"C:\tac-portal\store",,"1/22/2026 8:51:56 AM","Directory"
"C:\tac-portal\supabase",,"1/20/2026 1:53:14 AM","Directory"
"C:\tac-portal\test-results",,"1/22/2026 6:25:22 AM","Directory"
"C:\tac-portal\tests",,"1/22/2026 6:01:08 AM","Directory"
"C:\tac-portal\testsprite_tests",,"1/22/2026 6:01:08 AM","Directory"
"C:\tac-portal\types",,"1/22/2026 8:51:56 AM","Directory"
"C:\tac-portal\.codeqlignore","714","1/22/2026 8:51:56 AM","Archive"
"C:\tac-portal\.env.example","2045","1/22/2026 6:01:07 AM","Archive"
"C:\tac-portal\.env.local","1282","1/21/2026 11:39:16 PM","Archive"
"C:\tac-portal\.env.test.example","657","1/22/2026 6:01:07 AM","Archive"
"C:\tac-portal\.gitignore","356","1/20/2026 1:53:13 AM","Archive"
"C:\tac-portal\.mcp.json","324","1/21/2026 1:21:56 AM","Archive"
"C:\tac-portal\.prettierignore","51","1/17/2026 12:52:02 PM","Archive"
"C:\tac-portal\.prettierrc","218","1/17/2026 12:51:58 PM","Archive"
"C:\tac-portal\.stylelintrc.json","680","1/21/2026 1:21:56 AM","Archive"
"C:\tac-portal\.windsurfrules","2705","1/22/2026 6:01:07 AM","Archive"
"C:\tac-portal\ADMIN_USER_SETUP_COMPLETE.md","6407","1/20/2026 1:53:13 AM","Archive"
"C:\tac-portal\App.tsx","19843","1/22/2026 8:51:56 AM","Archive"
"C:\tac-portal\build_fixes.log","6701","1/21/2026 2:42:54 AM","Archive"
"C:\tac-portal\build_v2.log","1641","1/21/2026 2:08:54 AM","Archive"
"C:\tac-portal\build_v3.log","6701","1/21/2026 2:10:30 AM","Archive"
"C:\tac-portal\build.log","1610","1/21/2026 2:07:34 AM","Archive"
"C:\tac-portal\Cleanup-Actions.tasks.md","1446","1/21/2026 1:21:56 AM","Archive"
"C:\tac-portal\cleanup-react-project.ps1","5094","1/21/2026 1:21:56 AM","Archive"
"C:\tac-portal\Cleanup-Report.md","1730","1/21/2026 1:21:56 AM","Archive"
"C:\tac-portal\CODERABBIT_REVIEW_REQUEST.md","3021","1/21/2026 1:21:56 AM","Archive"
"C:\tac-portal\components.json","596","1/18/2026 12:38:18 AM","Archive"
"C:\tac-portal\CREATE_TEST_USER.md","4322","1/20/2026 1:53:13 AM","Archive"
"C:\tac-portal\depcheck-report.json","36752","1/21/2026 1:21:56 AM","Archive"
"C:\tac-portal\duplicate-hash-report.txt","1176268","1/21/2026 1:21:56 AM","Archive"
"C:\tac-portal\ENTERPRISE_QA_REPORT.md","10592","1/22/2026 6:01:07 AM","Archive"
"C:\tac-portal\eslint.config.js","2403","1/22/2026 6:01:07 AM","Archive"
"C:\tac-portal\FIXES_APPLIED.md","7908","1/20/2026 1:53:13 AM","Archive"
"C:\tac-portal\folder-tree.txt","154024","1/22/2026 9:13:38 AM","Archive"
"C:\tac-portal\FRONTEND_TEST_REPORT.md","8329","1/20/2026 1:53:13 AM","Archive"
"C:\tac-portal\globals.css","11455","1/20/2026 2:57:10 PM","Archive"
"C:\tac-portal\IMPLEMENTATION_SUMMARY.md","7402","1/20/2026 1:53:13 AM","Archive"
"C:\tac-portal\index.html","3086","1/21/2026 1:21:56 AM","Archive"
"C:\tac-portal\index.tsx","492","1/20/2026 1:53:13 AM","Archive"
"C:\tac-portal\metadata.json","226","1/17/2026 11:09:01 AM","Archive"
"C:\tac-portal\npm-deps.txt","4456","1/21/2026 1:21:56 AM","Archive"
"C:\tac-portal\package-lock.json","616309","1/22/2026 8:51:56 AM","Archive"
"C:\tac-portal\package.json","4734","1/22/2026 8:51:56 AM","Archive"
"C:\tac-portal\playwright.config.ts","1992","1/20/2026 1:53:14 AM","Archive"
"C:\tac-portal\PRODUCTION_READINESS_REPORT.md","6244","1/20/2026 1:53:13 AM","Archive"
"C:\tac-portal\project-inventory.csv","5994966","1/22/2026 9:15:55 AM","Archive"
"C:\tac-portal\project-tree.txt","2311574","1/22/2026 9:10:35 AM","Archive"
"C:\tac-portal\README.md","17394","1/22/2026 6:01:07 AM","Archive"
"C:\tac-portal\SECURITY.md","2414","1/21/2026 1:28:50 AM","Archive"
"C:\tac-portal\SENTRY_ANALYSIS_REPORT.md","7972","1/20/2026 1:53:13 AM","Archive"
"C:\tac-portal\sentry_stats.json","782","1/20/2026 1:53:14 AM","Archive"
"C:\tac-portal\SENTRY_TEST_AUDIT_REPORT.md","2222","1/21/2026 1:21:56 AM","Archive"
"C:\tac-portal\TESTSPRITE_COMPREHENSIVE_TEST_REPORT.md","9035","1/22/2026 6:01:07 AM","Archive"
"C:\tac-portal\tsconfig.json","869","1/20/2026 1:53:14 AM","Archive"
"C:\tac-portal\types.ts","8725","1/22/2026 8:51:56 AM","Archive"
"C:\tac-portal\vite-env.d.ts","212","1/22/2026 6:01:08 AM","Archive"
"C:\tac-portal\vite.config.ts","909","1/22/2026 6:01:08 AM","Archive"
"C:\tac-portal\vitest.config.ts","996","1/22/2026 6:01:08 AM","Archive"
"C:\tac-portal\.auth\user.json","3125","1/22/2026 6:22:01 AM","Archive"
"C:\tac-portal\.git\hooks",,"1/18/2026 11:41:23 AM","Directory"
"C:\tac-portal\.git\info",,"1/18/2026 11:41:23 AM","Directory"
"C:\tac-portal\.git\logs",,"1/18/2026 11:41:25 AM","Directory"
"C:\tac-portal\.git\refs",,"1/22/2026 6:09:28 AM","Directory"
