
  SizeKB Name                       FullName
  ------ ----                       --------
10819.50 express-air-cargo.png      C:\tac-portal\public\express-air-cargo.png
10237.20 express-surface-cargo.png  C:\tac-portal\public\express-surface-cargo.png
 8720.70 pick-n-drop.png            C:\tac-portal\public\pick-n-drop.png
 7595.90 tac-hero-bg.jpeg           C:\tac-portal\public\tac-hero-bg.jpeg
 6786.80 surface-cargo.png          C:\tac-portal\public\surface-cargo.png
 6716.90 express-pick-drop.png      C:\tac-portal\public\express-pick-drop.png
 6513.00 air-cargo.png              C:\tac-portal\public\air-cargo.png
  687.40 secure-packaging-cyber.png C:\tac-portal\public\assets\generated\secure-packaging-cyber.png
  657.50 ground-logistics-cyber.png C:\tac-portal\public\assets\generated\ground-logistics-cyber.png
  632.40 network-illustration.png   C:\tac-portal\public\network-illustration.png
  628.50 air-freight-cyber.png      C:\tac-portal\public\assets\generated\air-freight-cyber.png
  617.50 eco-delivery-cyber.png     C:\tac-portal\public\assets\generated\eco-delivery-cyber.png
  551.80 warehouse-illustration.png C:\tac-portal\public\warehouse-illustration.png
  529.10 truck-illustration.png     C:\tac-portal\public\truck-illustration.png
  452.10 drone-illustration.png     C:\tac-portal\public\drone-illustration.png
    1.20 truck-label.svg            C:\tac-portal\public\truck-label.svg
    1.00 plane-label.svg            C:\tac-portal\public\plane-label.svg

